Dipole Moments (Debye)
         &    NIST &    ccsd 
     LiH &   5.880 &   5.865 
      BH &   1.270 &   1.407 
      CN &   1.450 &   1.566 
      OH &   1.660 &   1.657 
     LiO &   6.843 &   6.671 
      CO &   0.112 &   0.073 
      NO &   0.153 &   0.118 
      HF &   1.820 &   1.811 
     LiF &   6.284 &   6.333 
      BF &   0.500 &   0.803 
      CF &   0.655 &   0.608 
      FO &   0.004 &   0.060 
     NaF &   8.123 &   8.332 
     AlF &   1.530 &   1.416 
     SiO &   3.098 &   3.250 
      PN &   2.751 &   2.865 
      PO &   1.880 &   2.076 
      HS &   0.758 &   0.766 
     SiS &   1.730 &   1.812 
      CS &   1.980 &   1.946 
      NS &   1.810 &   1.848 
      SO &   1.550 &   1.623 
      SF &   0.794 &   0.876 
     HCl &   1.080 &   1.094 
    NaCl &   8.971 &   9.182 
    LiCl &   7.085 &   7.138 
     ClO &   1.239 &   1.242 
     ClF &   0.880 &   0.941 
    OClO &   1.792 &   1.953 
     ONO &   0.316 &   0.391 
      O3 &   0.530 &   0.607 
     HNC &   3.050 &   3.058 
     H2O &   1.855 &   1.865 
    LiOH &   4.755 &   4.613 
     HNO &   1.670 &   1.657 
     HOF &   2.230 &   1.893 
     FCN &   2.170 &   2.188 
     CF2 &   0.460 &   0.479 
     FNO &   1.810 &   1.720 
     F2O &   0.297 &   0.312 
    SiF2 &   1.230 &   1.130 
     HCP &   0.390 &   0.374 
     H2S &   0.970 &   0.984 
     HBS &   1.298 &   1.438 
     OCS &   0.712 &   0.731 
     SO2 &   1.630 &   1.749 
     SSO &   1.470 &   1.563 
     SF2 &   1.050 &   1.129 
    HOCl &   1.507 &   1.515 
    ClCN &   2.820 &   2.915 
    ClNO &   1.866 &   1.921 
    SCl2 &   0.360 &   0.397 
